LAD24CD,LAD24NM,RGN24CD,RGN24NM
E00006149,District_149,E120004,North East
E00006150,District_150,E120003,East of England
E00006151,District_151,E120006,London
E00006152,District_152,E120009,Yorkshire and The Humber
E00006153,District_153,E120008,London
E00006154,District_154,E120009,North East
E00006155,District_155,E120006,South East
E00006156,District_156,E120003,South East
E00006157,District_157,E120001,London
E00006158,District_158,E120007,East Midlands
E00006159,District_159,E120001,West Midlands
E00006160,District_160,E120009,London
E00006161,District_161,E120003,South East
E00006162,District_162,E120003,London
E00006163,District_163,E120006,North East
E00006164,District_164,E120007,London
E00006165,District_165,E120008,East of England
E00006166,District_166,E120002,West Midlands
E00006167,District_167,E120004,North West
E00006168,District_168,E120001,Yorkshire and The Humber
E00006169,District_169,E120004,South West
E00006170,District_170,E120002,East of England
E00006171,District_171,E120008,East Midlands
E00006172,District_172,E120002,London
E00006173,District_173,E120003,South East
E00006174,District_174,E120007,East Midlands
E00006175,District_175,E120005,Yorkshire and The Humber
E00006176,District_176,E120002,West Midlands
E00006177,District_177,E120003,North West
E00006178,District_178,E120004,London
E00006179,District_179,E120006,Yorkshire and The Humber
E00006180,District_180,E120001,North East
E00006181,District_181,E120002,London
E00006182,District_182,E120009,North West
E00006183,District_183,E120001,Yorkshire and The Humber
E00006184,District_184,E120004,East Midlands
E00006185,District_185,E120003,North West
E00006186,District_186,E120009,Yorkshire and The Humber
E00006187,District_187,E120006,East of England
E00006188,District_188,E120004,North East
E00006189,District_189,E120003,East of England
E00006190,District_190,E120007,North East
E00006191,District_191,E120008,South West
E00006192,District_192,E120006,Yorkshire and The Humber
E00006193,District_193,E120008,South East
E00006194,District_194,E120007,London
E00006195,District_195,E120001,London
E00006196,District_196,E120003,South West
E00006197,District_197,E120008,South West
E00006198,District_198,E120007,London
E00006199,District_199,E120003,London
E00006200,District_200,E120002,Yorkshire and The Humber
E00006201,District_201,E120003,North West
E00006202,District_202,E120008,East Midlands
E00006203,District_203,E120004,East of England
E00006204,District_204,E120004,London
E00006205,District_205,E120002,North East
E00006206,District_206,E120006,London
E00006207,District_207,E120006,South West
E00006208,District_208,E120004,West Midlands
E00006209,District_209,E120001,North East
E00006210,District_210,E120003,Yorkshire and The Humber
E00006211,District_211,E120008,West Midlands
E00006212,District_212,E120007,East of England
E00006213,District_213,E120009,Yorkshire and The Humber
E00006214,District_214,E120005,South West
E00006215,District_215,E120004,North East
E00006216,District_216,E120001,South West
E00006217,District_217,E120002,London
E00006218,District_218,E120001,North East
E00006219,District_219,E120003,London
E00006220,District_220,E120004,North East
E00006221,District_221,E120003,North West
E00006222,District_222,E120006,North West
E00006223,District_223,E120005,Yorkshire and The Humber
E00006224,District_224,E120004,South West
E00006225,District_225,E120002,North West
E00006226,District_226,E120003,South West
E00006227,District_227,E120006,North East
E00006228,District_228,E120009,East of England
E00006229,District_229,E120006,South East
E00006230,District_230,E120004,South East
E00006231,District_231,E120001,South East
E00006232,District_232,E120004,North East
E00006233,District_233,E120007,East of England
E00006234,District_234,E120008,Yorkshire and The Humber
E00006235,District_235,E120002,East of England
E00006236,District_236,E120003,East of England
E00006237,District_237,E120007,South East
E00006238,District_238,E120001,South West
E00006239,District_239,E120002,East of England
E00006240,District_240,E120005,West Midlands
E00006241,District_241,E120009,North West
E00006242,District_242,E120001,East of England
E00006243,District_243,E120009,South East
E00006244,District_244,E120006,North West
E00006245,District_245,E120001,East Midlands
E00006246,District_246,E120003,South East
E00006247,District_247,E120005,Yorkshire and The Humber
E00006248,District_248,E120009,North West
E00006249,District_249,E120008,North West
E00006250,District_250,E120002,North West
E00006251,District_251,E120006,West Midlands
E00006252,District_252,E120006,West Midlands
E00006253,District_253,E120003,North East
E00006254,District_254,E120009,South East
E00006255,District_255,E120004,North West
E00006256,District_256,E120005,South East
E00006257,District_257,E120005,West Midlands
E00006258,District_258,E120004,North West
E00006259,District_259,E120008,South West
E00006260,District_260,E120002,North East
E00006261,District_261,E120007,London
E00006262,District_262,E120006,East Midlands
E00006263,District_263,E120007,North West
E00006264,District_264,E120001,Yorkshire and The Humber
E00006265,District_265,E120004,West Midlands
E00006266,District_266,E120007,South West
E00006267,District_267,E120007,East Midlands
E00006268,District_268,E120001,East Midlands
E00006269,District_269,E120002,South West
E00006270,District_270,E120006,Yorkshire and The Humber
E00006271,District_271,E120005,London
E00006272,District_272,E120007,East of England
E00006273,District_273,E120007,West Midlands
E00006274,District_274,E120006,Yorkshire and The Humber
E00006275,District_275,E120006,South East
E00006276,District_276,E120005,South East
E00006277,District_277,E120006,Yorkshire and The Humber
E00006278,District_278,E120003,North East
E00006279,District_279,E120001,East Midlands
E00006280,District_280,E120003,North East
E00006281,District_281,E120007,West Midlands
E00006282,District_282,E120001,East Midlands
E00006283,District_283,E120008,London
E00006284,District_284,E120003,Yorkshire and The Humber
E00006285,District_285,E120002,North West
E00006286,District_286,E120003,East Midlands
E00006287,District_287,E120002,North West
E00006288,District_288,E120005,East Midlands
E00006289,District_289,E120005,East Midlands
E00006290,District_290,E120001,South West
E00006291,District_291,E120002,South East
E00006292,District_292,E120002,East Midlands
E00006293,District_293,E120003,South East
E00006294,District_294,E120009,East Midlands
E00006295,District_295,E120002,North West
E00006296,District_296,E120009,South West
E00006297,District_297,E120007,South West
E00006298,District_298,E120008,West Midlands
E00006299,District_299,E120009,South East
E00006300,District_300,E120002,North West
E00006301,District_301,E120004,London
E00006302,District_302,E120009,South East
E00006303,District_303,E120003,South East
E00006304,District_304,E120008,North East
E00006305,District_305,E120005,West Midlands
E00006306,District_306,E120009,West Midlands
E00006307,District_307,E120008,South West
E00006308,District_308,E120001,West Midlands
E00006309,District_309,E120009,South West
